source_type,source_path,feature,scenario,tags,status,notes
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_013_ApplyExpiredCoupon,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_014_PrimeCouponByNonPrimeUserRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_015_NonPrimeCouponByPrimeUserRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_016_PreventDuplicateCouponApplication,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_017_ValidateRemainingPayableAfterCoupon,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_018_ValidateCouponAndAdminCashSplit,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_019_CouponPersistsInCart,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_020_RemoveCouponFromCart,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_021_VerifyTotalPriceSubtraction,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_022_CouponExpiresBeforeOrderPlacement,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_023_RedeemWithinAllowedLimit,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_024_ExceedMaxCouponLimit,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_025_ApplyCouponForMultipleFamilyMembers,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_026_MembershipCapPerMemberRespected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_027_CouponValueEqualsOrderTotal,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_028_CouponValueGreaterThanOrderTotal,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_029_OneBelowMinRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_030_LastRedemptionAllowed,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_031_RedemptionAfterMaxRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_032_UnauthorizedCouponAttemptRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_033_ManipulatedDiscountIgnored,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_034_MissingAuthTokenUnauthorized,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponMultiMemberTest.java,CouponMultiMemberTest,step01_DiscoverCoupon,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponMultiMemberTest.java,CouponMultiMemberTest,step02_ApplyCouponToMultiMemberCart,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponValidationTest.java,CouponValidationTest,testGetAllCoupons_EmptyUserType,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponValidationTest.java,CouponValidationTest,testGetAllCoupons_InvalidUserType,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponValidationTest.java,CouponValidationTest,testGetAllCoupons_NonPrime,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponValidationTest.java,CouponValidationTest,testGetAllCoupons_Prime,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/DetailedCouponAdminApprovalTest.java,DetailedCouponAdminApprovalTest,step01_DiscoverCoupon,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/DetailedCouponAdminApprovalTest.java,DetailedCouponAdminApprovalTest,step02_AddToCartWithCoupon,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/DetailedCouponAdminApprovalTest.java,DetailedCouponAdminApprovalTest,step03_AddressAndSlot,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/DetailedCouponAdminApprovalTest.java,DetailedCouponAdminApprovalTest,step04_VerifyPaymentAndCreateOrder,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/DetailedCouponAdminApprovalTest.java,DetailedCouponAdminApprovalTest,step05_AdminCheck,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/DetailedCouponAdminApprovalTest.java,DetailedCouponAdminApprovalTest,step06_AdminApproval,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step01_MemberLogin,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step02_SetupLocationAndBrand,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step03_GlobalSearch,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step04_DiscoverCoupon,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step05_AddToCartWithCoupon,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step06_VerifyCart,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step07_AddAddressAndSlot,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step08_ConfirmOrder,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step09_AdminLoginAndCheck,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/MemberCouponAdminFlowTest.java,MemberCouponAdminFlowTest,step10_AdminApprovePayment,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_InvalidAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_InvalidDateFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_InvalidGender,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_InvalidMobileFormat_TooShort,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_MissingAllRequiredFields,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_MissingFirstName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_MissingLastName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_MissingUserId,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_NoAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/AddFamilyMemberTest.java,AddFamilyMemberTest,test_AddFamilyMember_ValidData_AllFieldsValidated,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/DeleteFamilyMemberTest.java,DeleteFamilyMemberTest,test_DeleteFamilyMember_AlreadyDeleted,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/DeleteFamilyMemberTest.java,DeleteFamilyMemberTest,test_DeleteFamilyMember_EmptyGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/DeleteFamilyMemberTest.java,DeleteFamilyMemberTest,test_DeleteFamilyMember_InvalidAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/DeleteFamilyMemberTest.java,DeleteFamilyMemberTest,test_DeleteFamilyMember_InvalidGuidFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/DeleteFamilyMemberTest.java,DeleteFamilyMemberTest,test_DeleteFamilyMember_NoAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/DeleteFamilyMemberTest.java,DeleteFamilyMemberTest,test_DeleteFamilyMember_NonExistentGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/DeleteFamilyMemberTest.java,DeleteFamilyMemberTest,test_DeleteFamilyMember_ValidId_VerifyDeletion,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg01_Add_MissingAll,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg02_Add_MissingUserId,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg03_Add_MissingFirstName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg04_Add_MissingLastName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg05_Add_InvalidMobile,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg06_Add_InvalidGender,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg07_Add_InvalidDateFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg08_Add_NoAuth,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg09_Add_InvalidAuth,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg09a_Add_FutureDOB,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg09b_Add_VeryLongName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg10_Get_NonExistent,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg11_Get_InvalidFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg12_Get_EmptyGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg13_Get_NoAuth,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg14_Get_InvalidAuth,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg14a_Get_SpecialChars,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg15_Update_MissingGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg16_Update_NonExistent,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg17_Update_InvalidGuidFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg18_Update_InvalidMobile,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg19_Update_InvalidGender,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg20_Update_NoAuth,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg21_Update_InvalidAuth,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg21a_Update_EmptyPayload,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg22_Delete_NonExistent,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg23_Delete_InvalidFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg24_Delete_EmptyGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg25_Delete_NoAuth,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg26_Delete_InvalidAuth,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg27_Delete_DoubleDelete,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,neg28_Delete_SQLInjection,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,test01_AddFamilyMember_Positive,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,test02_GetFamilyMember_FieldValidations,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,test03_UpdateFamilyMember_Flow,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,test04_Get_VerifyPersistence,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberCompleteTest.java,now,test05_Delete_VerifyDeletion,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest01_00_Add_MissingAll_Request,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest01_01_Add_MissingAll_Validate,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest02_AddFamilyMember_MissingUserId,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest03_AddFamilyMember_MissingFirstName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest04_AddFamilyMember_MissingLastName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest05_AddFamilyMember_InvalidMobileFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest06_AddFamilyMember_InvalidGender,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest07_AddFamilyMember_InvalidDateFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest08_AddFamilyMember_NoAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest09_AddFamilyMember_InvalidAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest09a_AddFamilyMember_FutureDOB,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest09b_AddFamilyMember_VeryLongName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest10_GetFamilyMember_NonExistentGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest11_GetFamilyMember_InvalidGuidFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest12_GetFamilyMember_EmptyGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest13_GetFamilyMember_NoAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest14_GetFamilyMember_InvalidAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest14a_GetFamilyMember_SpecialCharsinGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest15_UpdateFamilyMember_MissingGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest16_UpdateFamilyMember_NonExistentGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest17_UpdateFamilyMember_InvalidGuidFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest18_UpdateFamilyMember_InvalidMobileFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest19_UpdateFamilyMember_InvalidGender,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest20_UpdateFamilyMember_NoAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest21_UpdateFamilyMember_InvalidAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest21a_UpdateFamilyMember_EmptyPayload,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest22_DeleteFamilyMember_NonExistentGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest23_DeleteFamilyMember_InvalidGuidFormat,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest24_DeleteFamilyMember_EmptyGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest25_DeleteFamilyMember_NoAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest26_DeleteFamilyMember_InvalidAuthToken,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest27_DeleteFamilyMember_DoubleDelete,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,negativeTest28_DeleteFamilyMember_SQLInjection,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step00_RegisterNewUser,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step00b_RegisterUserProfile,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_00_PerformAddRequest,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_01_ValidateAddStatus,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_02_ValidateAddGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_03_ValidateAddFirstName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_04_ValidateAddLastName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_05_ValidateAddMobile,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_06_ValidateAddGender,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_07_ValidateAddDob,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step01_08_ValidateAddRelation,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_00_PerformGetRequest,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_01_ValidateGetStatus,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_02_ValidateGetFirstName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_03_ValidateGetLastName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_04_ValidateGetMobile,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_05_ValidateGetGender,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_06_ValidateGetDob,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_07_ValidateGetRelation,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step02_08_ValidateGetGuid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step03_00_PerformUpdateRequest,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step03_01_ValidateUpdateStatus,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step04_00_PerformGetVerifyUpdate,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step04_01_ValidateVerifyUpdateStatus,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step04_02_ValidateVerifyUpdateFirstName,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/family/FamilyMemberFlowTest.java,FamilyMemberFlowTest,step05_00_PerformDeleteRequest,,Implemented,@Test method
