source_type,source_path,feature,scenario,tags,status,notes
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a home sample visit for a single member and complete online payment  in most popular packages,@singleHomeOrderMembership @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_home_order_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(without Member),@add_member_multi_home_order_without_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_lab_order_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Without Member),@add_member_multi_lab_order_without_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a lab visit for a single member and complete online payment  in DNA Decoder page,@singleLabOrderMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a lab visit for a single non member and complete online payment  in most popular packages,@singleLabOrderWithoutMembership @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Complete online payment,@paymentWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Extract total amount for multi member scenario,@multi_member_totalWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Identify membership type,@membership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Location Auto-Detect on Dashboard,@location_detectWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Select tests and capture individual prices,@select_testsWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Select the member for multi member scenario,@multi_memberWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,User logs into the application,@enrollmentWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Validate actual amount with add member page total amount,@final_amountWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Validate checkout summary header values with individual prices,@checkout_headerWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Validating the visit type,@cartWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,View the order after payment,@order_viewWithoutMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_07_PayInCash.feature,Place a home sample visit for a single member and pay in cash,Place a home sample visit for a single  non member and complete cash payment  in most popular packages,@payincash,Implemented,
Cucumber,src/test/resources/Feature/TC_07_PayInCash.feature,Place a home sample visit for a single member and pay in cash,Place a home sample visit for a single member and complete cash payment  in most popular packages,@payincash,Implemented,
Cucumber,src/test/resources/Feature/TC_07_PayInCash.feature,Place a home sample visit for a single member and pay in cash,Place a home visit for a family member with the profile owner and complete cash payment in most popular packages(Member),@payincashNew,Implemented,
Cucumber,src/test/resources/Feature/TC_07_PayInCash.feature,Place a home sample visit for a single member and pay in cash,Place a home visit for a family member with the profile owner and complete cash payment in most popular packages(without Member),@payincashNew,Implemented,
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home sample visit for a single  non member and complete cash payment with reschedule order flow(Non Member),@payincashRescheduleNonMember,Implemented,
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home sample visit for a single  non member and complete online payment  with reschedule order flow,@rescheduleHomeOrderNonMember,Implemented,
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home sample visit for a single member and complete cash payment  with reschedule order flow(Member),@payincashRescheduleMember,Implemented,
